ユーザーID,ユーザー名,ポイント,達成回数
1001663807577403478,shimaenaga_chan,8,1
1071682860366434376,heikenosison.204,10,1
956781919079657492,ekuoji129893,7,1
1005123343604797500,mr.pink_genie,6,1
1102128122125619220,.ryuto1,5,1
1193561133043421251,shigaboss,5,1
1054148091407765536,datemaki3461,5,1
940827124997165086,masterleon7777,4,1
1233262415559524384,toto_kichi,7,1
1186906238265610290,an385an,99,0
1228151719163203656,momomil,2,1
1086680018094137374,syamo234,100,0
1206127330800435242,banbi0202,87,0
1330890514970574922,pepepenguin0625_79410,84,0
1268872845245812736,hikaruchiru_58,84,0
1085499255445270660,natsu510,73,0
402067463442923521,kishino,73,0
1136585830438273024,take2_0000,79,0
1222379195741507675,kony1981_54848,76,0
1015521347583090748,kumi09333,69,0
1334471683578527777,run_aichan,65,0
1295603220164382781,denden05054,72,0
1303644803900375050,naru1.2,61,0
1230853495721033729,hgs03053,60,0
1400453575515181066,takutaku224,60,0
1056943804298579969,scale294,68,0
1400477461464088727,kazukok,59,0
1231427385685966878,madisco0246,64,0
801336738009972776,okady,47,0
1024328993467531304,_.iso._,60,0
451026656195379201,rabi_neco,59,1
862984291189260308,ppp_nuts,58,1
1309500324553298001,remu1031,58,1
1227197430852751362,kusakusa9393.,58,1
1014353488748220496,purapura99,57,1
1059679274103226419,fuji.223,57,1
718046399102451712,kkred777,55,1
973974832997863425,sunsea34,55,1
915812985887395870,chamugi999,56,1
1262211859025760370,raku3_888,56,1
1007177196076531722,saomama,54,1
981403747492175902,yakaman,50,1
1101833445086330970,ruby1450,52,1
670910001237196800,hoisl,49,1
1228344856565256234,yuu20240331.,50,1
899513934191669268,kata_r1,46,0
1153235764340076584,banarogame,36,0
1062371237768212510,ilacoxwell2,35,0
1279697535056871533,emic02,45,0
1013323331476402266,creamsoda_sakuranbonuki,36,0
1058541948429934682,odahird2,46,0
1156111247025131571,miyuki0610,47,1
1242457385868726313,donpeipeii,42,1
1062371763666829322,rinarina1717,44,1
1237330495755390996,yoko022329,42,1
1261613428292718627,anchu6780,42,1
1208703041847697451,kazu02639,42,1
1335505310638538756,0424_rsys.,40,1
1296669603799236620,sachinao,39,1
1256221996602232914,kentasoorin,41,1
771738536885092354,masa315,41,1
751470133842542653,tonta4581,41,1
838289529009471518,mamecoco0843,40,1
922676721080234064,magent08,26,0
1027983894621978674,a.lily.k,38,1
1073573290146283561,pandakunsan,32,0
1395782211478884373,tsukumozurako,37,1
884332131021627422,beiv6215,34,0
505888103966441492,mugi.6gi,22,0
1219447658356150327,hi_happy_w,33,1
154222526774509568,arasuka4922,33,1
1126324095550771220,chosei0215,34,1
603096947657539584,sunflower1257,30,1
1050386143667028079,.shizu01,19,0
812567792434937898,.respon,31,1
1185913822855307354,yukari0562,21,0
917417517255905421,tenpapa.,26,1
913416582737321995,akune0724,26,1
1101134125596950600,_tomoha,26,1
935139396678733855,7u1.,24,1
918629535350669322,yuriumi,27,1
971543417391812698,mapmiru,26,1
1065909938255306862,tnkun,25,1
1015582559113068564,ka_ni1256,20,1
988382824245633064,ryou303,24,1
1232619470447706143,kansaiman,10,0
396636410012106753,zutsuki5555,20,1
873845673294987305,yy8515,8,0
1312028884379893872,kurage007_47683,8,0
1060502616343326810,mckay3287,7,0
1154088084728713248,yonechan123,18,1
382880077412827150,aska_dayo,9,1
1204691221696618499,japan415,16,1
1182207594425765941,knight0725,5,0
1150437375265226844,supamamorukun._96807,5,0
1113039029529755678,osakechan76,3,0
1215336140354232441,yattsun0502,3,0
1101828202579644446,nahiro6924,13,1
1272596433530392798,kaori02920,13,1
966550381230436362,ryuzaum,3,0
1289408356351737889,moomin04280,2,0
1290506302807605271,mashi0317,2,0
1005604549647667250,gongchyan,11,1
831610540614746192,mee223,1,0
1108718788150571108,terw0893,1,0
180116275073253376,akasaka3321,1,0
931570102657237092,hiro_ojo,1,0
1306264038468091905,mitaro0404,1,0
1015161821424005121,kogajunko,1,0
885608048238940191,to_zamadaimyo,1,0
1223248961658159174,tyaunen,1,0
1017008167835676705,naonao_kai,1,0
1293953866907390074,hide_g_hide_g,1,0
1044880179144695849,rin7754,11,1
